,SPY,AAPL,IBM,GOOG,XOM,Cash
2011-06-29,0.0,0.0,0.0,0.0,0.0,1027011.9499999998
2011-06-30,0.0,0.0,0.0,0.0,0.0,1027011.9499999998
2011-07-01,0.0,0.0,0.0,0.0,0.0,1027011.9499999998
2011-07-05,0.0,0.0,0.0,0.0,0.0,1027011.9499999998
2011-07-06,0.0,0.0,0.0,0.0,0.0,1027011.9499999998
2011-07-07,0.0,0.0,0.0,0.0,0.0,1027011.9499999998
2011-07-08,0.0,0.0,0.0,0.0,0.0,1027011.9499999998
2011-07-11,0.0,0.0,0.0,0.0,0.0,1027011.9499999998
2011-07-12,0.0,0.0,0.0,0.0,0.0,1027011.9499999998
2011-07-13,0.0,0.0,0.0,0.0,0.0,1027011.9499999998
2011-07-14,0.0,0.0,0.0,0.0,0.0,1027011.9499999998
2011-07-15,0.0,0.0,0.0,0.0,0.0,1027011.9499999998
2011-07-18,0.0,0.0,0.0,0.0,0.0,1027011.9499999998
2011-07-19,0.0,0.0,0.0,0.0,0.0,1027011.9499999998
2011-07-20,0.0,0.0,0.0,0.0,0.0,1027011.9499999998
2011-07-21,0.0,0.0,0.0,0.0,0.0,1027011.9499999998
2011-07-22,0.0,0.0,0.0,0.0,0.0,1027011.9499999998
2011-07-25,0.0,0.0,0.0,0.0,0.0,1027011.9499999998
2011-07-26,0.0,0.0,0.0,0.0,0.0,1027011.9499999998
2011-07-27,0.0,0.0,0.0,0.0,0.0,1027011.9499999998
2011-07-28,0.0,0.0,0.0,0.0,0.0,1027011.9499999998
2011-07-29,0.0,0.0,0.0,0.0,0.0,1027011.9499999998
2011-08-01,0.0,0.0,0.0,0.0,0.0,1026658.3264999999
